Issue,Red1,Red2,Red3,Red4,Red5,Red6,Blue balls
0.1376,0.025,0.175,0.35,0.4,0.45,0.625,0.275
0.138,0.1,0.325,0.35,0.45,0.65,0.75,0.025
0.1384,0.025,0.125,0.325,0.375,0.525,0.625,0.275
0.1388,0.125,0.35,0.4,0.45,0.625,0.675,0.325
0.1392,0.075,0.225,0.375,0.575,0.625,0.825,0.3
0.1396,0.075,0.125,0.15,0.275,0.5,0.55,0.325
0.14,0.05,0.175,0.5,0.575,0.8,0.825,0.25
0.1404,0.1,0.15,0.175,0.2,0.3,0.425,0.175
0.1408,0.075,0.125,0.2,0.3,0.4,0.475,0.375
0.1412,0.175,0.25,0.3,0.425,0.55,0.725,0.125
0.1416,0.075,0.25,0.375,0.425,0.5,0.8,0.2
0.142,0.025,0.2,0.35,0.375,0.475,0.675,0.225
0.1424,0.075,0.175,0.2,0.425,0.5,0.7,0.375
0.1428,0.175,0.275,0.475,0.5,0.6,0.7,0.05
0.1432,0.15,0.175,0.375,0.675,0.7,0.75,0.25
0.1436,0.075,0.375,0.425,0.575,0.6,0.725,0.325
0.144,0.275,0.4,0.525,0.575,0.625,0.8,0.175
0.1444,0.075,0.175,0.25,0.35,0.45,0.5,0.05
0.1448,0.1,0.275,0.3,0.325,0.475,0.75,0.125
0.1452,0.025,0.125,0.3,0.35,0.525,0.675,0.075
0.1456,0.1,0.125,0.175,0.525,0.65,0.725,0.025
0.146,0.025,0.3,0.375,0.475,0.525,0.7,0.075
0.1464,0.175,0.325,0.4,0.525,0.65,0.7,0.225
0.1468,0.05,0.1,0.125,0.15,0.4,0.5,0.3
0.1472,0.1,0.2,0.425,0.675,0.7,0.775,0.175
0.1476,0.075,0.475,0.5,0.6,0.65,0.675,0.275
0.148,0.2,0.525,0.55,0.575,0.65,0.8,0.35
0.1484,0.1,0.4,0.45,0.675,0.8,0.825,0.175
0.1488,0.075,0.125,0.225,0.45,0.7,0.8,0.4
0.1492,0.125,0.15,0.2,0.5,0.65,0.75,0.15
0.1496,0.1,0.15,0.3,0.475,0.675,0.725,0.2
0.15,0.125,0.175,0.2,0.35,0.675,0.775,0.275
0.1504,0.225,0.275,0.325,0.675,0.775,0.825,0.25
